p_arrival,network,station,channel,eval,distance,dist_caldera
2018-05-05T18:16:24.370000Z,HV,JCUZ,HHZ,automatic,7.665784,19.742109
2018-05-05T18:16:24.400000Z,HV,JOKA,HHZ,automatic,7.063326,29.830204
2018-05-05T18:16:24.580000Z,HV,NPOC,HHZ,automatic,8.681468,18.780421
2018-05-05T18:16:24.690000Z,HV,STCD,HHZ,automatic,10.162708,17.253402
2018-05-05T18:16:25.970000Z,HV,PAUD,HHZ,automatic,19.558362,8.583007
2018-05-05T18:16:28.550000Z,HV,HLPD,HHZ,automatic,30.479233,12.826262
2018-05-05T18:16:29.780000Z,HV,MLOD,HHZ,automatic,39.701653,13.813296
2018-05-05T18:16:32.010000Z,HV,HSSD,HHZ,automatic,53.9195,29.559335
